"LEVEL3_NAM" "LEVEL3_COD" "lon" "lat"
"251" "Oklahoma" "OKL" -97.4950577974787 35.5893458480326
"252" "Oman" "OMA" 56.0796112760393 20.5826590151696
"253" "Ontario" "ONT" -85.4492793080858 49.9389751660967
"254" "Oregon" "ORE" -120.547147209624 43.9383685278622
"255" "Pakistan" "PAK" 68.6744817992844 29.3110466220404
"256" "Palestine" "PAL" 36.3667667082478 31.3028579935895
"257" "Panama" "PAN" -80.1086265428725 8.5081280936393
"258" "Paraguay" "PAR" -58.43406860839 -23.2170260009156
"259" "Prince Edward I." "PEI" -63.2414221834081 46.3970757220923
"260" "Pennsylvania" "PEN" -77.8382808870219 40.9061084744071
"261" "Peru" "PER" -74.4138675806219 -9.11819407785702
"262" "Philippines" "PHI" 122.908027973763 11.7014107825084
"263" "Phoenix Is." "PHX" -171.727725864526 -3.41879774638041
"264" "Pitcairn Is." "PIT" -128.440546097448 -24.5091084289023
"265" "Poland" "POL" 19.4306782275512 52.1093663603952
"266" "Portugal" "POR" -7.96959628465588 39.6662371197328
"267" "Primorye" "PRM" 134.643441401444 45.1531877419193
"268" "Puerto Rico" "PUE" -66.4661435002926 18.2213594379446
"269" "Queensland" "QLD" 144.461742070996 -22.5026208159073
"270" "Québec" "QUE" -71.7671798123955 53.023775261165
"271" "Réunion" "REU" 55.5381254163823 -21.1215910305829
"272" "Rhode I." "RHO" -71.5599183409874 41.6834992833862
"273" "Rodrigues" "ROD" 63.413523915015 -19.7177954171731
"274" "Romania" "ROM" 24.9789931350334 45.8391852095803
"275" "Central European Russia" "RUC" 39.7425861968956 54.8365110824762
"276" "East European Russia" "RUE" 53.8218215202607 55.9561427882704
"277" "North European Russia" "RUN" 45.4943995058655 64.5178087571739
"278" "South European Russia" "RUS" 44.6233412014708 48.8627793739485
"279" "Northwest European Russia" "RUW" 31.1820868316761 58.7441013243056
"280" "Rwanda" "RWA" 29.9172910575229 -1.9979727347478
"281" "Sakhalin" "SAK" 142.711388980414 50.2469687852783
"282" "Samoa" "SAM" -172.032910438684 -13.7971525506822
"283" "Sardegna" "SAR" 9.0291993134359 40.0864044324066
"284" "Saskatchewan" "SAS" -105.873825448152 54.1951751270101
"285" "Saudi Arabia" "SAU" 44.7129394454843 23.9840945300518
"286" "South Carolina" "SCA" -80.8944410922851 33.9157970863313
"287" "Society Is." "SCI" -149.886828021675 -17.4528089300834
"288" "South China Sea" "SCS" 114.36092586556 13.0397544390606
"289" "Santa Cruz Is." "SCZ" 166.223169689028 -10.9918015916015
"290" "South Dakota" "SDA" -100.216607630767 44.4457475281076
"291" "Selvagens" "SEL" -15.8626865661498 30.1429605406251
"292" "Senegal" "SEN" -14.4640750182808 14.3655657253544
"293" "Seychelles" "SEY" 55.5218078453931 -4.70141616848711
"294" "South Georgia" "SGE" -36.723724737996 -54.3577912811639
"295" "Sicilia" "SIC" 14.1484536991431 37.5662872054213
"296" "Sierra Leone" "SIE" -11.7920197309324 8.55955131124305
"297" "Sinai" "SIN" 33.7703237077755 29.6983861515438
"298" "South Australia" "SOA" 135.757539242466 -30.0755351369221
"299" "Socotra" "SOC" 53.7833235420282 12.4919532516799
"300" "Solomon Is." "SOL" 158.323338583735 -8.14868976606493
"301" "Somalia" "SOM" 45.8402773380032 6.0484402438595
"302" "Spain" "SPA" -3.5619063365222 40.3663273873696
"303" "Sri Lanka" "SRL" 80.7048277819864 7.61067871341088
"304" "South Sandwich Is." "SSA" -26.6607555929853 -58.1512247953199
"305" "St.Helena" "STH" -5.7172709533897 -15.9620242176256
"306" "Sudan" "SUD" 30.065619083501 13.8148321056051
"307" "Sulawesi" "SUL" 121.295137893448 -2.10260328370161
"308" "Sumatera" "SUM" 101.640613294482 -0.478077979028162
"309" "Surinam" "SUR" -55.9116677576803 4.12599941019991
"310" "Svalbard" "SVA" 17.9962769411067 78.7708960374666
"311" "Southwest Caribbean" "SWC" -85.1171113905805 15.4375802841609
"312" "Sweden" "SWE" 16.2631068376935 62.3920520243903
"313" "Switzerland" "SWI" 8.23221607143219 46.8036004042878
"314" "Swaziland" "SWZ" 31.4971314799001 -26.5611876779895
"315" "Taiwan" "TAI" 120.956562934387 23.7444026097361
"316" "Tanzania" "TAN" 34.8121303083165 -6.26274694256818
"317" "Tasmania" "TAS" 146.598882064257 -41.9368225994274
